# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions
# and other software and tools, and any partner logic
# functions, and any output files from any of the foregoing
# (including device programming or simulation files), and any
# associated documentation or information are expressly subject
# to the terms and conditions of the Intel Program License
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# Generated on: Sun Dec 05 16:13:48 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
O_7_SEGMENT_DISPLAY[2][6],Output,PIN_AC30,5B,B5B_N0,PIN_AC30,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[3][0],Output,PIN_AD26,5A,B5A_N0,PIN_AD26,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[3][1],Output,PIN_AC27,5A,B5A_N0,PIN_AC27,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[3][2],Output,PIN_AD25,5A,B5A_N0,PIN_AD25,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[3][3],Output,PIN_AC25,5A,B5A_N0,PIN_AC25,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[3][4],Output,PIN_AB28,5B,B5B_N0,PIN_AB28,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[3][5],Output,PIN_AB25,5A,B5A_N0,PIN_AB25,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[3][6],Output,PIN_AB22,5A,B5A_N0,PIN_AB22,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[4][0],Output,PIN_AA24,5A,B5A_N0,PIN_AA24,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[4][1],Output,PIN_Y23,5A,B5A_N0,PIN_Y23,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[4][2],Output,PIN_Y24,5A,B5A_N0,PIN_Y24,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[4][3],Output,PIN_W22,5A,B5A_N0,PIN_W22,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[4][4],Output,PIN_W24,5A,B5A_N0,PIN_W24,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[4][5],Output,PIN_V23,5A,B5A_N0,PIN_V23,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[4][6],Output,PIN_W25,5B,B5B_N0,PIN_W25,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[5][0],Output,PIN_V25,5B,B5B_N0,PIN_V25,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[5][1],Output,PIN_AA28,5B,B5B_N0,PIN_AA28,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[5][2],Output,PIN_Y27,5B,B5B_N0,PIN_Y27,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[5][3],Output,PIN_AB27,5B,B5B_N0,PIN_AB27,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[5][4],Output,PIN_AB26,5A,B5A_N0,PIN_AB26,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[5][5],Output,PIN_AA26,5B,B5B_N0,PIN_AA26,3.3-V LVTTL,,,,,,,,,,,,,
O_7_SEGMENT_DISPLAY[5][6],Output,PIN_AA25,5A,B5A_N0,PIN_AA25,3.3-V LVTTL,,,,,,,,,,,,,
O_LED_FLAGS[4],Output,PIN_W17,4A,B4A_N0,PIN_W17,3.3-V LVTTL,,,,,,,,,,,,,
O_LED_FLAGS[3],Output,PIN_V18,4A,B4A_N0,PIN_V18,3.3-V LVTTL,,,,,,,,,,,,,
O_LED_FLAGS[2],Output,PIN_V17,4A,B4A_N0,PIN_V17,3.3-V LVTTL,,,,,,,,,,,,,
O_LED_FLAGS[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,3.3-V LVTTL,,,,,,,,,,,,,
O_LED_FLAGS[0],Output,PIN_V16,4A,B4A_N0,PIN_V16,3.3-V LVTTL,,,,,,,,,,,,,
